NAME,TEAM,SALARY,GP,MPG,FG%,3P%,FT%,RPG,APG,BLKPG,STLPG,PPG,POSITION
Doug McDermott,Chicago Bulls,2277960,972,35.5,0.513,0.28,0.753,9.4,3.3,1.7,0.5,18.3,SF
Kenneth Faried,Denver Nuggets,2249768,676,28.9,0.475,0.412,0.875,2.5,6.7,0.1,0.9,10.2,PF
Nick Collison,Oklahoma City Thunder,2242003,248,34.6,0.453,0.388,0.862,3.5,5.7,0.3,1.4,21,PF
Brendan Haywood,Cleveland Cavaliers,2213668,690,28.7,0.445,0.34,0.8,5,1.3,0.4,0.8,10.4,C
Reggie Jackson,Oklahoma City Thunder,2204369,852,26.9,0.45,0.369,0.828,3.8,4,0.3,1.4,14.4,PG
Jeremy Lamb,Oklahoma City Thunder,2202000,627,22.6,0.492,0.234,0.828,4.7,0.8,0.7,0.4,9,SG
Steven Adams,Oklahoma City Thunder,2184960,653,31,0.441,0.386,0.87,3.3,2,0.1,0.9,18,C
Vitor Faverani,Boston Celtics,2090000,526,23.8,0.439,0.397,0.887,1.9,2,0.1,0.4,10.6,C
Ramon Sessions,Washington Wizards,2077000,434,31,0.443,0.339,0.777,5.3,1.7,0.7,0.7,13.7,PG
C.J. Watson,Indiana Pacers,2077000,851,34.2,0.439,0.37,0.708,5,2.7,0.4,1.2,17.1,PG
Beno Udrih,Memphis Grizzlies,2077000,753,26.4,0.424,0.372,0.738,3.3,2.3,0.2,1,13.3,PG
Aron Baynes,San Antonio Spurs,2077000,468,23,0.534,0.176,0.788,5,0.7,0.4,0.4,10.9,C
Josh Smith,Houston Rockets,2077000,363,23.9,0.423,0.351,0.814,2.6,4.9,0.1,0.6,9.2,SF
Kelly Olynyk,Boston Celtics,2075760,283,22.2,0.428,0.301,0.706,4.3,0.6,0.3,0.5,9.2,C
Zach LaVine,Minnesota Timberwolves,2055840,757,28.1,0.444,0.347,0.853,2.8,4.4,0.1,0.8,11,PG
Norris Cole,Miami Heat,2038206,874,26.2,0.443,0.433,0.881,3.1,1.8,0.3,0.7,10,PG
Cory Joseph,San Antonio Spurs,2023261,1280,36.5,0.451,0.334,0.837,5.3,4.8,0.5,1.5,25.4,PG
Jimmy Butler,Chicago Bulls,2008748,1048,36.3,0.443,0.371,0.8,4.1,4.2,0.2,0.9,17.3,SG
DeJuan Blair,Washington Wizards,2.00E+06,830,36.5,0.455,0.345,0.811,6.6,3.1,0.5,1.1,25.2,C
John Salmons,New Orleans Pelicans,2.00E+06,800,35.8,0.579,0.104,0.573,12.8,1.5,2.1,1,18.2,SF
Kent Bazemore,Atlanta Hawks,2.00E+06,840,35.9,0.495,0.326,0.799,8.6,2,1.1,0.8,19.3,SG
Elton Brand,Atlanta Hawks,2.00E+06,903,39.3,0.496,0.342,0.746,7.1,6.9,0.8,1.7,27.4,PF
John Henson,Milwaukee Bucks,1987320,688,36.2,0.473,0.361,0.859,4.4,9.9,0.1,2.4,18.7,C
Shabazz Muhammad,Minnesota Timberwolves,1971960,702,35.1,0.448,0.357,0.817,3.1,8.5,0.3,1.1,17.1,SF
T.J. Warren,Phoenix Suns,1953120,648,35.9,0.451,0.344,0.793,5.8,2.3,0.8,1.3,18.5,SF
Maurice Harkless,Orlando Magic,1887840,569,38,0.481,0.379,0.881,6.9,3.5,1,1.2,27.3,SF
Giannis Antetokounmpo,Milwaukee Bucks,1873200,335,35.9,0.453,0.306,0.815,3.7,6.5,0.4,0.8,20.5,SF
Adreian Payne,Minnesota Timberwolves,1855320,364,35.6,0.524,0.256,0.653,9.8,3.9,0.6,1,21.5,PF
Jeff Ayres,San Antonio Spurs,1828750,904,32,0.473,0.263,0.762,9.5,1.8,0.3,0.8,17.1,PF
Anthony Randolph,Orlando Magic,1825359,638,35.5,0.485,0.276,0.796,8.4,2,1,0.8,19.3,SF
Joffrey Lauvergne,Denver Nuggets,1790281,505,33.7,0.509,0.164,0.759,7.9,3,1.6,0.9,14,PF
Reggie Evans,Sacramento Kings,1768653,431,33,0.448,0.361,0.814,11.9,2.4,0.5,0.7,18.8,C
Lucas Nogueira,Toronto Raptors,1762680,495,33.9,0.432,0.304,0.82,5.2,7.1,0.3,1.7,20.9,C
Jusuf Nurkic,Denver Nuggets,1762680,400,32.4,0.509,0.059,0.791,7.3,1.3,1.7,0.5,17.7,C
Luigi Datome,Detroit Pistons,1750000,686,31.7,0.533,0.036,0.776,9.5,2.3,0.4,0.8,14.8,SF
Zoran Dragic,Phoenix Suns,1706225,770,36.3,0.491,0.288,0.765,4.9,5.9,0.9,1.7,24.1,SG
Tyler Zeller,Boston Celtics,1703760,520,26,0.465,0.286,0.748,6.8,1.5,1.9,0.4,11.1,C
Dennis Schroder,Atlanta Hawks,1690680,360,34.1,0.438,0.381,0.81,2.6,3.4,0.3,1.1,16.9,PG
James Young,Boston Celtics,1674480,910,28.8,0.59,0,0.645,9.3,0.8,1.3,0.6,8.8,SG
Pablo Prigioni,New York Knicks,1662961,336,35.9,0.432,0.306,0.787,4.4,8.6,0.6,1.6,17.6,PG
Ryan Kelly,Los Angeles Lakers,1650000,344,30.9,0.463,0.164,0.733,10.5,2.6,1.1,1.4,18.7,PF
Terrence Jones,Houston Rockets,1618680,439,32.2,0.444,0.369,0.853,4.3,4.4,0.4,1.4,19.4,PF
Shane Larkin,New York Knicks,1606080,274,34.1,0.469,0.374,0.71,5.1,3.1,0.4,1.1,14.4,PG
Tyler Ennis,Phoenix Suns,1590720,759,31.1,0.499,0.131,0.71,9.1,1.6,1.3,0.7,17,PG
Andrew Nicholson,Orlando Magic,1545840,740,29,0.544,0.111,0.671,6.7,2,0.8,1.2,12.5,PF
Sergey Karasev,Brooklyn Nets,1533840,310,24.8,0.449,0.334,0.778,3.6,4,0.5,1.4,10.6,SG
Gary Harris,Denver Nuggets,1519200,561,30.6,0.529,0.087,0.561,9.2,2.3,1.6,0.7,11,SG
Ronny Turiaf,Minnesota Timberwolves,1500000,358,25,0.514,0.1,0.659,7.1,1,1.3,0.7,10.8,C
Miroslav Raduljica,Minnesota Timberwolves,1500000,563,32.7,0.469,0.26,0.608,4.7,8.4,0.1,1.8,10.9,C
Evan Fournier,Orlando Magic,1483920,535,29.9,0.494,0,0.719,9.5,2.9,1.4,0.8,9.6,SG
Donatas Motiejunas,Houston Rockets,1483920,995,32.5,0.494,0.323,0.754,2.9,5.9,0.1,0.9,17,PF
Tony Snell,Chicago Bulls,1472400,446,28.2,0.533,0.372,0.744,7.5,0.5,2.6,0.4,11.4,SF
Bruno Caboclo,Toronto Raptors,1458360,823,36.2,0.462,0.332,0.717,5.5,4.7,0.5,1.7,14,SF
Scotty Hopson,Sacramento Kings,1450878,259,25.4,0.521,0,0.759,6.9,0.7,0.6,0.5,12.9,SG
Willie Green,Orlando Magic,1448490,803,31.8,0.49,0.254,0.822,7.2,2.2,0.8,0.8,15.6,SG
Mike James,Chicago Bulls,1448490,571,29.4,0.418,0.348,0.793,3.9,5.6,0.2,1.3,12.5,PG
Jared Sullinger,Boston Celtics,1424520,486,33.8,0.539,0.328,0.739,9.2,2.7,1.2,0.8,14.1,PF
Gorgui Dieng,Minnesota Timberwolves,1413480,471,30.8,0.446,0.361,0.833,5,3,0.7,0.9,11.3,C
Mitch McGary,Oklahoma City Thunder,1400040,407,31.1,0.467,0.37,0.771,2.9,6.6,0.1,1.2,14.3,PF
Victor Claver,Portland Trail Blazers,1370000,496,30.1,0.438,0.354,0.824,4.9,1.3,0.9,0.4,15,PF
Mason Plumlee,Brooklyn Nets,1357080,504,26,0.662,0.125,0.42,8.9,0.5,1.7,0.6,7.9,C
Jordan Adams,Memphis Grizzlies,1344120,396,33.6,0.444,0.271,0.757,4.9,5.1,0.4,1.3,16.8,SG
Josh Powell,Houston Rockets,1310286,336,30,0.415,0.365,0.85,4.5,1.8,0.5,0.8,14,PF
Ronnie Brewer,Chicago Bulls,1310286,1280,36.5,0.451,0.334,0.837,5.3,4.8,0.5,1.5,25.4,SF
Solomon Hill,Indiana Pacers,1302840,1048,36.3,0.443,0.371,0.8,4.1,4.2,0.2,0.9,17.3,SF
Rodney Hood,Utah Jazz,1290360,830,36.5,0.455,0.345,0.811,6.6,3.1,0.5,1.1,25.2,SG
Alan Anderson,Brooklyn Nets,1276061,800,35.8,0.579,0.104,0.573,12.8,1.5,2.1,1,18.2,SG
Tim Hardaway Jr.,New York Knicks,1250640,840,35.9,0.495,0.326,0.799,8.6,2,1.1,0.8,19.3,SG
Hasheem Thabeet,Detroit Pistons,1250000,903,39.3,0.496,0.342,0.746,7.1,6.9,0.8,1.7,27.4,C
Pero Antic,Atlanta Hawks,1250000,688,36.2,0.473,0.361,0.859,4.4,9.9,0.1,2.4,18.7,PF
Shabazz Napier,Miami Heat,1238640,702,35.1,0.448,0.357,0.817,3.1,8.5,0.3,1.1,17.1,PG
Shawne Williams,Miami Heat,1227985,648,35.9,0.451,0.344,0.793,5.8,2.3,0.8,1.3,18.5,SF
Aaron Gray,Detroit Pistons,1227985,569,38,0.481,0.379,0.881,6.9,3.5,1,1.2,27.3,C
Shavlik Randolph,Phoenix Suns,1227985,335,35.9,0.453,0.306,0.815,3.7,6.5,0.4,0.8,20.5,PF
Tony Wroten,Philadelphia 76ers,1210080,364,35.6,0.524,0.256,0.653,9.8,3.9,0.6,1,21.5,SG
Reggie Bullock,Phoenix Suns,1200720,904,32,0.473,0.263,0.762,9.5,1.8,0.3,0.8,17.1,SG
Clint Capela,Houston Rockets,1189200,638,35.5,0.485,0.276,0.796,8.4,2,1,0.8,19.3,C
Andre Roberson,Oklahoma City Thunder,1160880,505,33.7,0.509,0.164,0.759,7.9,3,1.6,0.9,14,SG
P.J. Hairston,Charlotte Hornets,1149720,431,33,0.448,0.361,0.814,11.9,2.4,0.5,0.7,18.8,SG
Brandon Rush,Golden State Warriors,1145685,495,33.9,0.432,0.304,0.82,5.2,7.1,0.3,1.7,20.9,SG
Hilton Armstrong,Golden State Warriors,1145685,400,32.4,0.509,0.059,0.791,7.3,1.3,1.7,0.5,17.7,PF
Cartier Martin,Detroit Pistons,1145685,686,31.7,0.533,0.036,0.776,9.5,2.3,0.4,0.8,14.8,PF
Arnett Moultrie,New York Knicks,1136160,770,36.3,0.491,0.288,0.765,4.9,5.9,0.9,1.7,24.1,PF
Perry Jones,Oklahoma City Thunder,1129200,520,26,0.465,0.286,0.748,6.8,1.5,1.9,0.4,11.1,SF
Rudy Gobert,Utah Jazz,1127400,360,34.1,0.438,0.381,0.81,2.6,3.4,0.3,1.1,16.9,C
Marquis Teague,Philadelphia 76ers,1120920,910,28.8,0.59,0,0.645,9.3,0.8,1.3,0.6,8.8,PG
Festus Ezeli,Golden State Warriors,1112880,336,35.9,0.432,0.306,0.787,4.4,8.6,0.6,1.6,17.6,C
Archie Goodwin,Phoenix Suns,1112280,344,30.9,0.463,0.164,0.733,10.5,2.6,1.1,1.4,18.7,SG
C.J. Wilcox,Los Angeles Clippers,1109760,439,32.2,0.444,0.369,0.853,4.3,4.4,0.4,1.4,19.4,SG
Nemanja Nedovic,Golden State Warriors,1104240,274,34.1,0.469,0.374,0.71,5.1,3.1,0.4,1.1,14.4,PG
Damjan Rudez,Indiana Pacers,1100000,759,31.1,0.499,0.131,0.71,9.1,1.6,1.3,0.7,17,SF
Kyle Anderson,San Antonio Spurs,1093680,740,29,0.544,0.111,0.671,6.7,2,0.8,1.2,12.5,SF
Kyle Singler,Oklahoma City Thunder,1090000,310,24.8,0.449,0.334,0.778,3.6,4,0.5,1.4,10.6,SF
Xavier Henry,Los Angeles Lakers,1082000,561,30.6,0.529,0.087,0.561,9.2,2.3,1.6,0.7,11,SF
Robert Covington,Philadelphia 76ers,1.00E+06,358,25,0.514,0.1,0.659,7.1,1,1.3,0.7,10.8,SF
Garrett Temple,Washington Wizards,981084,563,32.7,0.469,0.26,0.608,4.7,8.4,0.1,1.8,10.9,SG
Ed Davis,Los Angeles Lakers,981084,535,29.9,0.494,0,0.719,9.5,2.9,1.4,0.8,9.6,PF
Al-Farouq Aminu,Dallas Mavericks,981084,995,32.5,0.494,0.323,0.754,2.9,5.9,0.1,0.9,17,SF
Alexis Ajinca,New Orleans Pelicans,981084,446,28.2,0.533,0.372,0.744,7.5,0.5,2.6,0.4,11.4,C
Jon Leuer,Memphis Grizzlies,967500,823,36.2,0.462,0.332,0.717,5.5,4.7,0.5,1.7,14,PF
Josh Harrellson,Detroit Pistons,948163,259,25.4,0.521,0,0.759,6.9,0.7,0.6,0.5,12.9,PF
Donald Sloan,Indiana Pacers,948163,803,31.8,0.49,0.254,0.822,7.2,2.2,0.8,0.8,15.6,PG
Jeremy Tyler,Los Angeles Lakers,948163,571,29.4,0.418,0.348,0.793,3.9,5.6,0.2,1.3,12.5,PF
Joey Dorsey,Houston Rockets,948163,486,33.8,0.539,0.328,0.739,9.2,2.7,1.2,0.8,14.1,C
E'Twaun Moore,Chicago Bulls,948163,471,30.8,0.446,0.361,0.833,5,3,0.7,0.9,11.3,SG
Drew Gooden,Washington Wizards,915243,407,31.1,0.467,0.37,0.771,2.9,6.6,0.1,1.2,14.3,PF
Rasual Butler,Washington Wizards,915243,496,30.1,0.438,0.354,0.824,4.9,1.3,0.9,0.4,15,SF
Jannero Pargo,Charlotte Hornets,915243,504,26,0.662,0.125,0.42,8.9,0.5,1.7,0.6,7.9,PG
Jason Maxiell,Charlotte Hornets,915243,396,33.6,0.444,0.271,0.757,4.9,5.1,0.4,1.3,16.8,PF
Sebastian Telfair,Oklahoma City Thunder,915243,336,30,0.415,0.365,0.85,4.5,1.8,0.5,0.8,14,PG
